review,sentiment
mature intelligent highly charged melodrama unbelivebly filmed china wei wei stunning performance catylast love triangle simply stunning oppurunity see magnificent film take,1
mmmm previous summary say like alien predator enjoy film could disagree film pay respect weighty lineage reduced two best loved sci fi strand little teen horror slasher movie none tension foreboding present previous alien predator movie discernible lead character really care character positively yearned see stereotypical cast die soon possible vain hope something better would replace really take super human incompetence two fearsome creature ever invented positively fail make gripping thrilling movie watch want see,0
saw movie low expectation know lot sure going worth br br story ok job getting curious ruin travel suspense continues mayan show force stay ruin br br movie turn somewhat suspenseful pointless amount gore found movie balance compared whether truly necessary used shock value br br fact make attempt fight vine hell fire try burn try cut knife see could destroy quickly jumped victim role helpless attitude real reminded old horror movie people scream yell half brain try fight back,0
soul calibur solid ever new character creation bad as chronicle sword mode home version br br arcade version complete even though character roster smaller home version version definitely pretty two eliminating goofy unrealistic fighting style found home version way disappointed home version perhaps thought much might find much likable straight forward game soul calibur arcade think take become legend,1
interesting train research flow started looking article cristo gate central park article stated maysles cristo filmographers year hmmm got looking body work believe one passed still filming cristo jean claude stage creation grey garden sounded interesting video station boulder co place look obscure offbeat course stock dvd vhs edith edie woman living past oh glorious past edith well born bouvier married well several wonderful relationship became singer forty daughter edie débutante fashion model many beau never married point thirty come home recuperate seems nervous disorder kind worrying much thing shadow world live though jackie came spruced place aunt cousin would evicted room mansion worn worn film notice fresh paint wall look carefully newspaper clipping see much dirty mess outfit edie come clever creative viewer get impression edith like go nude movie edith really quite beautiful see shadow beauty still sings tea two edie beauty day quite attractive good movie though everyone cat urinating behind edith portait state least someone want,1
art house maven dream overrated overpraised overdone pretentious melange deserve best picture merit dwarfed competition start place sun detective story streetcar named desire abbott costello meet invisible man name came better arthouse crapola closing ballet claptrap intellectual crowd place wrong movie actor time less capable acting less charismatic kelly caron worst saw movie among worst best picture oscar winner,0
mess referring destruction title could go hackneyed plot lousy effect actually notable cast grimacing deliver worst line career etc say palm tree chicago last time checked leave br br hmmm need ten line get posted imdb ok well think dvd release outtake could interesting maybe dennehy reveal favor got called appear thing maybe dianne weist show u bag money must taken get involved maybe cbs exec apologize,0
newlywed couple move home husband dead former wife long new wife begin feeling someone want house see skull around house husband investigates find anything someone trying drive back asylum recently discharged ghost dead wife trying get new wife house br br first time watched screaming skull without assistance mstk crew likelihood last time watch way say dull talking ordinary dull talking watching grass grow dull great stretch movie nothing happens screen could gone blank would gotten much entertainment character drone monotonous conversation imaginable screaming skull could probably marketed sleep aide br br actor help matter much deliver line conviction normally reserved grade school play looked would shocked find anyone associated movie ever appeared anything cinematic value even go script actor given work let say character given idiotic line ever uttered film br br warned either avoid one cost least seek mstk version,0
spoiler alert throughout australia summer turned deluge rain hail stone size baseball causing havoc coastal city like sydney hectic condition tax lawyer david burton richard chamberlain got involved case defense attorney involving death local aborigine found dead outside sydney bar br br five fellow aborigine arrested billy cormans athol compton death determined police coroner billy died drowning violence even though bruise neck shoulder yet court decided prosecute five death charging manslaughter instead murder br br david defending five get help defense accused assailant opting remain quite keep happened billy take coming court one defendant chris david gulpili begin somehow invades david dream want tell really behind billy death br br david first taking dream chris seriously begin sense real meet courthouse chris confirms david dream showing strange looking black rock david saw chris dream later meeting chris turn aborigine shaman charlie nandjiwarna amagula came house evening david told like charlie spiritual power inherited mother grandfather power reveal future strange weather condition flooding australian continent earth chris tell david going gigantic cleansing cycle old world washed away new world ready take place br br david confused chris charlie telling rain continue increase ocean wave start rise feel something terrible going happen david want know aborigine folklore scientific fact logic behind end world like revelation br br obvious chris charlie member aborigine tribe right heart modern sydney alone get chris well four friend murder billy since australian government prosecute tribal aborigine leaving justice done tribe still chris refuse admit member native tribe four friend convicted manslaughter billy death sentence handed judge within day br br david determined find reason chris silence billy die taken chris scene crime david find billy betrayed chris tribe member going billy member chris aborigine tribe also revealed david kind spiritual connection austrailan aborigine charlie step father rev burton david parslow told br br stage set great final cleansing cycle david seeing night time dream day time vision come form massive tidal wave rolling pacific ocean australian coast city sydney submerges entire continent,1
generally good movie ideal ending acting spectacular character stray person especially liked plot although knew going happen still gave element surprise entire movie however find coming ending could little longer extended maybe seemed like rushed bit writer trying take linen line rain fell instance happened tristan brother hayden know died hospital maybe one setup entire thing know maybe sequel maybe cant wait see,1
like mel brook comedy men tights hilarious seeing outrageous comedy think many fail realize reason movie funny character acted well elwes well spoken former british noble lewis eternally annoyed king hope worth nooooooiiiise deluise fantastic godfather roger rees worried cynical sheriff actor actress loyal part joke flow forth ease yes seen kind comedy comedy achieve better character development opinion big lebowski funny,1
